cityCode,population,cityName,longitude,latitude,radius,countryCode,countryName
38375,107,Saint-Christophe-en-Oisans,6.24433172989739,44.9289939812082,,,France
38040,126,Besse,6.20888719846714,45.1048558698062,,,France
38237,191,Mizoën,6.18224291921632,45.0435673936948,,,France
38112,101,Clavans-en-Haut-Oisans,6.16213807381036,45.1172387019087,,,France
38078,571,La Chapelle-du-Bard,6.13934098615704,45.4022593191417,,,France
38253,1908,Les Deux Alpes,6.12323718003055,44.9949834860479,,,France
38173,252,Le Freney-d'Oisans,6.12250361964142,45.0778909341708,,,France
38006,4102,Allevard,6.11358785461413,45.3802644336021,,,France
38527,337,Vaujany,6.10100542709951,45.186160906164,,,France
38163,398,Le Haut-Bréda,6.10019868719546,45.3020503190493,,,France
38191,1307,Huez,6.08483946321997,45.097308095256,,,France
38020,190,Auris,6.08369502569742,45.0525416727762,,,France
38268,261,Le Moutaret,6.08260404118805,45.4291252496904,,,France
38522,135,Valjouffrey,6.07943082718389,44.8814146727765,,,France
38289,235,Oz,6.07469267411012,45.1283588745179,,,France
38177,98,La Garde,6.05468863933297,45.0689823993662,,,France
38426,654,Saint-Maximin,6.0499697087331,45.4264278941476,,,France
38439,3339,Crêts en Belledonne,6.0377663893772,45.3596079006184,,,France
38550,56,Villard-Reculas,6.03699023998303,45.0938023035088,,,France
38549,27,Villard-Notre-Dame,6.033167652734,45.0089873329935,,,France
38052,3278,Le Bourg-d'Oisans,6.03276934224646,45.0340065979747,,,France
38314,7344,Pontcharra,6.02102323238719,45.4196763033554,,,France
38005,971,Allemond,6.01784542483513,45.1704940064984,,,France
38504,1961,Theys,6.01349058371654,45.297329912554,,,France
38551,43,Villard-Reymond,6.00807757755124,45.0292828502024,,,France
38100,2566,Le Cheylas,5.99858250861921,45.3815012956823,,,France
38002,1006,Les Adrets,5.99140974409017,45.2589526899927,,,France
38181,2425,Goncelin,5.98818538616058,45.3363171715872,,,France
38062,669,La Buissière,5.98622245301119,45.4087736007172,,,France
38469,65,La Salette-Fallavaux,5.98485369278465,44.8431927454092,,,France
38206,984,Laval,5.98154926462434,45.2360941391624,,,France
38073,203,Chantepérier,5.98072846037429,44.9587811705772,,,France
38027,1886,Barraux,5.98057068164999,45.4356182023506,,,France
38417,478,Sainte-Marie-d'Alloix,5.97577568823442,45.383866938985,,,France
38192,168,Hurtières,5.96835205799503,45.2866415262848,,,France
38285,152,Ornon,5.96513863683834,45.0404902068448,,,France
38154,230,Entraigues,5.96408241849901,44.8901946170172,,,France
38286,7,Oulles,5.96306541729735,45.0742112818466,,,France
38166,490,La Flachère,5.96193127720053,45.3988641228894,,,France
38350,563,Sainte-Agnès,5.9601879337945,45.2103312010866,,,France
38466,1519,Saint-Vincent-de-Mercuze,5.9592716122413,45.3743806291058,,,France
38031,20,Beaufin,5.95907408838277,44.7870905923172,,,France
38501,2095,Tencin,5.95874412916346,45.3112185637992,,,France
38075,3010,Chapareillan,5.95839268876718,45.4615618054616,,,France
38511,3229,Le Touvet,5.94554006286547,45.3517027700619,,,France
38128,486,Corps,5.94167400980112,44.8202685516255,,,France
38303,574,La Pierre,5.94105879173658,45.2945058390836,,,France
38070,1197,Le Champ-près-Froges,5.93860904465316,45.2811440586114,,,France
38008,28,Ambel,5.93322778469714,44.8000705822043,,,France
38430,320,Saint-Mury-Monteymond,5.93287806526167,45.2066746575199,,,France
38503,2539,La Terrasse,5.93161140196785,45.3255173279324,,,France
38132,70,Les Côtes-de-Corps,5.93113987261052,44.8415644852235,,,France
38418,237,Sainte-Marie-du-Mont,5.93008628321521,45.4066678841814,,,France
38175,3331,Froges,5.92621790733672,45.2653774954653,,,France
38241,21,Monestier-d'Ambel,5.92404046651767,44.7690230472643,,,France
38212,1315,Livet-et-Gavet,5.91903668509265,45.0906941269281,,,France
38120,701,La Combe-de-Lancey,5.91824434936336,45.1981266326524,,,France
38214,2136,Lumbin,5.91416611406027,45.3044873552129,,,France
38428,31,Saint-Michel-en-Beaumont,5.91321228781381,44.8697152005042,,,France
38518,495,Valbonnais,5.90988285868922,44.8981003446223,,,France
38334,1314,Revel,5.90955309841957,45.1683246596669,,,France
38414,43,Sainte-Luce,5.90662132210665,44.8503308669669,,,France
38207,151,Lavaldens,5.90337732174077,44.9922968422135,,,France
38567,422,Chamrousse,5.89444544236532,45.1194177376899,,,France
38140,8247,Crolles,5.8893621377973,45.2821318914425,,,France
38547,7107,Villard-Bonnot,5.88928245215902,45.2453169394444,,,France
38395,2434,Plateau-des-Petites-Roches,5.88576359166961,45.334022271706,,,France
38283,114,Oris-en-Rattier,5.88553286118929,44.9337166484958,,,France
38299,136,Pellafol,5.88049430495822,44.7823038164748,,,France
38329,67,Quet-en-Beaumont,5.87908620982243,44.8374668277713,,,France
38404,292,Saint-Jean-le-Vieux,5.87737443579796,45.2075719362613,,,France
38039,3072,Bernin,5.86369138936347,45.2650428700171,,,France
38470,318,La Salle-en-Beaumont,5.86174712020649,44.8599421084299,,,France
38264,132,La Morte,5.86167908760075,45.0262693107992,,,France
38538,4818,Le Versoud,5.8587946038262,45.2218640748232,,,France
38422,5451,Saint-Martin-d'Uriage,5.85684171126383,45.1533168404838,,,France
38521,71,La Valette,5.8531810719039,44.9450032349236,,,France
38431,2955,Saint-Nazaire-les-Eymes,5.85152694457485,45.259393189048,,,France
38446,571,Saint-Pierre-d'Entremont,5.85131193338432,45.3856487163538,,,France
38489,136,Siévoz,5.85112658237088,44.9050723068431,,,France
38413,454,Saint-Laurent-en-Beaumont,5.8453368972104,44.8850797427719,,,France
